ac_number,pdf_url,page_number,total_electors,total_votes_polled,status
81,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC081.pdf,7.0,218375.0,196881.0,OK
82,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC082.pdf,7.0,228219.0,208562.0,OK
83,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC083.pdf,9.0,272937.0,253743.0,OK
84,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC084.pdf,8.0,294863.0,271493.0,OK
85,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC085.pdf,6.0,255869.0,231663.0,OK
86,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC086.pdf,8.0,276472.0,258490.0,OK
87,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC087.pdf,6.0,260590.0,244023.0,OK
88,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC088.pdf,4.0,258040.0,234789.0,OK
89,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC089.pdf,7.0,238685.0,210877.0,OK
90,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC090.pdf,5.0,226880.0,208117.0,OK
91,https://elections.tn.gov.in/Form20_TNLA2026/dt9/AC091.pdf,6.0,250504.0,236141.0,OK
92,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC092.pdf,9.0,222252.0,204680.0,OK_VERIFIED_EXTRACTION
93,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC093.pdf,12.0,229398.0,209816.0,OK_VERIFIED_EXTRACTION
94,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC094.pdf,8.0,237836.0,212283.0,OK_VERIFIED_EXTRACTION
95,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC095.pdf,9.0,205147.0,189019.0,OK_VERIFIED_EXTRACTION
96,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC096.pdf,8.0,209072.0,191217.0,OK_VERIFIED_EXTRACTION
97,https://elections.tn.gov.in/Form20_TNLA2026/dt10/AC097.pdf,13.0,220048.0,205359.0,OK_VERIFIED_EXTRACTION
98,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC098.pdf,4.0,179592.0,162573.0,OK
99,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC099.pdf,10.0,250217.0,221655.0,OK
100,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC100.pdf,6.0,207697.0,190905.0,OK
101,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC101.pdf,8.0,222434.0,200101.0,MISSING_ELECTORS
102,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC102.pdf,7.0,219586.0,203782.0,MISSING_ELECTORS
103,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC103.pdf,7.0,214451.0,201079.0,OK
104,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC104.pdf,8.0,223221.0,208464.0,OK
105,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC105.pdf,6.0,207413.0,185970.0,OK
106,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC106.pdf,5.0,239198.0,219988.0,OK
107,https://elections.tn.gov.in/Form20_TNLA2026/dt11/AC107.pdf,8.0,237629.0,214838.0,OK
108,https://elections.tn.gov.in/Form20_TNLA2026/dt12/AC108.pdf,11.0,188968.0,149032.0,OK
109,https://elections.tn.gov.in/Form20_TNLA2026/dt12/AC109.pdf,11.0,185460.0,151412.0,OK
110,https://elections.tn.gov.in/Form20_TNLA2026/dt12/AC110.pdf,11.0,177978.0,141719.0,OK
111,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC111.pdf,5.0,282235.0,244535.0,OK
112,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC112.pdf,10.0,253372.0,231948.0,MISSING_ELECTORS
113,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC113.pdf,12.0,315863.0,263576.0,MISSING_ELECTORS
114,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC114.pdf,5.0,197104.0,179929.0,MISSING_ELECTORS
115,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC115.pdf,12.0,329875.0,301323.0,OK
116,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC116.pdf,8.0,307699.0,273735.0,OK
117,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC117.pdf,11.0,422240.0,364242.0,OK
118,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC118.pdf,5.0,296994.0,226267.0,OK
119,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC119.pdf,6.0,293379.0,258823.0,OK
120,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC120.pdf,4.0,188912.0,156709.0,OK
121,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC121.pdf,5.0,269997.0,221138.0,OK
122,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC122.pdf,17.0,305919.0,268432.0,OK
123,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC123.pdf,7.0,204008.0,181360.0,OK
124,https://elections.tn.gov.in/Form20_TNLA2026/dt13/AC124.pdf,11.0,173659.0,150529.0,OK
125,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC125.pdf,9.0,231009.0,203937.0,MISSING_ELECTORS
126,https://elections.tn.gov.in/Form20_TNLA2026/dt32/AC126.pdf,8.0,214837.0,188375.0,MISSING_ELECTORS
127,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC127.pdf,18.0,239881.0,208707.0,OK_VERIFIED_EXTRACTION
128,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC128.pdf,25.0,220263.0,201705.0,MISSING_ELECTORS
129,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC129.pdf,19.0,262329.0,237388.0,OK_VERIFIED_EXTRACTION
130,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC130.pdf,18.0,221565.0,197805.0,MISSING_ELECTORS
131,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC131.pdf,18.0,261393.0,239317.0,MISSING_ELECTORS
132,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC132.pdf,15.0,242126.0,212118.0,OK_VERIFIED_EXTRACTION
133,https://elections.tn.gov.in/Form20_TNLA2026/dt14/AC133.pdf,19.0,243998.0,226683.0,OK_VERIFIED_EXTRACTION
